t_ms,raw,volts,ohms
52850,3454.3,2.784,1855.0
52900,3452.4,2.782,1861.0
52950,3451.3,2.781,1865.0
53000,3451.1,2.781,1866.0
53050,3452.4,2.782,1861.0
53100,3452.8,2.782,1860.0
53150,3452.5,2.782,1861.0
53200,3452.3,2.782,1862.0
53250,3452.8,2.782,1860.0
53300,3454.6,2.784,1854.0
53350,3453.4,2.783,1858.0
53400,3452.4,2.782,1861.0
53450,3453.9,2.783,1856.0
53500,3453.3,2.783,1858.0
53550,3450.8,2.781,1867.0
53600,3456.6,2.786,1847.0
53650,3456.4,2.785,1848.0
53700,3455.3,2.785,1851.0
53750,3455.8,2.785,1850.0
53800,3455.1,2.784,1852.0
53850,3457.5,2.786,1844.0
53900,3456.7,2.786,1847.0
53950,3455.4,2.785,1851.0
54000,3454.4,2.784,1854.0
54050,3457.9,2.787,1842.0
54100,3453.7,2.783,1857.0
54150,3456.6,2.786,1847.0
54200,3454.9,2.784,1853.0
54250,3455.3,2.784,1852.0
54300,3457.0,2.786,1846.0
54350,3443.3,2.775,1893.0
54400,3360.0,2.708,2188.0
54450,3273.4,2.638,2510.0
54500,3421.3,2.757,1969.0
54550,3588.9,2.892,1410.0
54600,3619.4,2.917,1314.0
54650,3635.9,2.93,1263.0
54700,3647.2,2.939,1228.0
54750,3653.9,2.945,1207.0
54800,3662.3,2.951,1181.0
54850,3664.6,2.953,1175.0
54900,3669.5,2.957,1160.0
54950,3673.3,2.96,1148.0
55000,3679.3,2.965,1130.0
55050,3679.4,2.965,1129.0
55100,3684.9,2.969,1113.0
55150,3685.5,2.97,1111.0
55200,3687.7,2.972,1105.0
55250,3688.6,2.973,1102.0
55300,3691.3,2.975,1094.0
55350,3695.1,2.978,1082.0
55400,3694.4,2.977,1084.0
55450,3699.0,2.981,1071.0
55500,3699.5,2.981,1069.0
55550,3700.9,2.982,1065.0
55600,3700.3,2.982,1067.0
55650,3699.4,2.981,1069.0
55700,3703.4,2.984,1057.0
55750,3703.7,2.985,1057.0
55800,3700.6,2.982,1066.0
55850,3705.2,2.986,1052.0
55900,3705.9,2.986,1050.0
55950,3705.9,2.986,1050.0
56000,3706.6,2.987,1048.0
56050,3711.3,2.991,1034.0
56100,3712.9,2.992,1029.0
56150,3713.1,2.992,1029.0
56200,3713.9,2.993,1026.0
56250,3712.5,2.992,1030.0
56300,3714.8,2.994,1023.0
56350,3714.6,2.993,1024.0
56400,3716.7,2.995,1018.0
56450,3716.1,2.995,1020.0
56500,3716.0,2.995,1020.0
56550,3719.1,2.997,1011.0
56600,3719.8,2.998,1009.0
56650,3717.6,2.996,1015.0
56700,3717.0,2.995,1017.0
56750,3718.8,2.997,1012.0
56800,3722.4,3.0,1001.0
56850,3716.2,2.995,1019.0
56900,3708.2,2.988,1043.0
56950,3636.4,2.93,1261.0
57000,3594.1,2.896,1394.0
57050,3541.6,2.854,1562.0
57100,3508.6,2.827,1671.0
57150,3482.0,2.806,1760.0
57200,3468.1,2.795,1808.0
57250,3451.1,2.781,1866.0
57300,3440.4,2.772,1903.0
57350,3445.8,2.777,1884.0
57400,3453.8,2.783,1857.0
57450,3455.7,2.785,1850.0
57500,3451.4,2.781,1865.0
57550,3457.1,2.786,1845.0
57600,3467.9,2.795,1808.0
57650,3469.3,2.796,1804.0
57700,3472.1,2.798,1794.0
57750,3471.0,2.797,1798.0
57800,3473.5,2.799,1789.0
57850,3471.1,2.797,1797.0
57900,3471.8,2.798,1795.0
57950,3469.8,2.796,1802.0
58000,3473.9,2.8,1788.0
58050,3471.4,2.797,1796.0
58100,3472.1,2.798,1794.0
58150,3475.9,2.801,1781.0
58200,3472.8,2.799,1792.0
58250,3472.1,2.798,1794.0
58300,3473.4,2.799,1789.0
58350,3472.9,2.799,1791.0
58400,3474.8,2.8,1785.0
58450,3469.4,2.796,1803.0
58500,3474.8,2.8,1785.0
58550,3475.1,2.8,1784.0
58600,3474.8,2.8,1785.0
58650,3473.1,2.799,1791.0
58700,3474.0,2.8,1788.0
58750,3476.8,2.802,1778.0
58800,3474.1,2.8,1787.0
58850,3470.8,2.797,1798.0
58900,3474.7,2.8,1785.0
58950,3468.5,2.795,1806.0
59000,3473.7,2.799,1789.0
59050,3475.0,2.8,1784.0
59100,3475.4,2.801,1783.0
59150,3479.0,2.804,1771.0
59200,3475.4,2.801,1783.0
59250,3471.7,2.798,1795.0
59300,3474.3,2.8,1787.0
59350,3473.1,2.799,1791.0
59400,3475.6,2.801,1782.0
59450,3476.6,2.802,1779.0
59500,3475.7,2.801,1782.0
59550,3474.1,2.8,1787.0
59600,3472.2,2.798,1794.0
59650,3475.1,2.8,1784.0
59700,3475.8,2.801,1781.0
59750,3474.5,2.8,1786.0
59800,3474.9,2.8,1784.0
59850,3473.4,2.799,1789.0
59900,3471.1,2.797,1797.0
59950,3477.2,2.802,1777.0
60000,3474.1,2.8,1787.0
60050,3476.1,2.801,1781.0
60100,3477.8,2.803,1775.0
60150,3476.4,2.801,1780.0
60200,3476.8,2.802,1778.0
60250,3480.7,2.805,1765.0
60300,3475.1,2.8,1784.0
60350,3478.5,2.803,1772.0
60400,3477.6,2.802,1775.0
60450,3475.6,2.801,1782.0
60500,3474.3,2.8,1787.0
60550,3475.1,2.8,1784.0
60600,3475.0,2.8,1784.0
60650,3478.9,2.803,1771.0
60700,3475.3,2.801,1783.0
60750,3476.7,2.802,1778.0
60800,3474.3,2.8,1787.0
60850,3481.3,2.805,1763.0
60900,3477.7,2.803,1775.0
60950,3476.8,2.802,1778.0
61000,3457.4,2.786,1844.0
61050,3413.1,2.751,1998.0
61100,3360.9,2.708,2184.0
61150,3440.3,2.772,1903.0
61200,3575.8,2.882,1452.0
61250,3616.4,2.914,1323.0
61300,3634.1,2.929,1268.0
61350,3645.9,2.938,1232.0
61400,3657.3,2.947,1197.0
61450,3662.7,2.952,1180.0
61500,3665.4,2.954,1172.0
61550,3668.1,2.956,1164.0
61600,3674.5,2.961,1144.0
61650,3674.8,2.961,1143.0
61700,3681.4,2.967,1124.0
61750,3684.6,2.969,1114.0
61800,3685.3,2.97,1112.0
61850,3683.8,2.969,1116.0
61900,3685.6,2.97,1111.0
61950,3688.7,2.973,1102.0
62000,3691.9,2.975,1092.0
62050,3694.5,2.977,1084.0
62100,3693.8,2.977,1086.0
62150,3694.8,2.978,1083.0
62200,3693.9,2.977,1086.0
62250,3696.1,2.979,1079.0
62300,3696.6,2.979,1078.0
62350,3701.6,2.983,1063.0
62400,3699.6,2.981,1069.0
62450,3699.6,2.981,1069.0
62500,3699.8,2.982,1068.0
62550,3703.8,2.985,1056.0
62600,3701.9,2.983,1062.0
62650,3705.4,2.986,1052.0
62700,3701.9,2.983,1062.0
62750,3704.5,2.985,1054.0
62800,3704.7,2.985,1054.0
62850,3701.8,2.983,1062.0
62900,3671.6,2.959,1153.0
62950,3531.3,2.846,1596.0
63000,3492.3,2.814,1726.0
63050,3479.8,2.804,1768.0
63100,3464.4,2.792,1820.0
63150,3458.8,2.787,1840.0
63200,3459.6,2.788,1837.0
63250,3464.8,2.792,1819.0
63300,3469.0,2.796,1805.0
63350,3465.9,2.793,1815.0
63400,3468.8,2.795,1805.0
63450,3469.5,2.796,1803.0
63500,3471.1,2.797,1798.0
63550,3467.4,2.794,1810.0
63600,3471.3,2.797,1797.0
63650,3468.4,2.795,1806.0
63700,3476.2,2.801,1780.0
63750,3470.5,2.797,1799.0
63800,3474.6,2.8,1786.0
63850,3473.3,2.799,1790.0
63900,3473.7,2.799,1789.0
63950,3476.4,2.802,1779.0
64000,3473.6,2.799,1789.0
64050,3472.7,2.799,1792.0
64100,3474.1,2.8,1787.0
64150,3476.4,2.801,1780.0
64200,3478.1,2.803,1774.0
64250,3474.4,2.8,1786.0
64300,3475.6,2.801,1782.0
64350,3473.9,2.799,1788.0
64400,3474.9,2.8,1785.0
64450,3477.9,2.803,1774.0
64500,3476.2,2.801,1780.0
64550,3479.3,2.804,1770.0
64600,3479.0,2.804,1771.0
